intelligence,strength,speed,durability,combat,height_cm,weight_kg,power
38,100,17,80,64,203.2,444.52016,0
88,28,35,65,85,190.5,65.77083999999999,0
50,90,53,64,65,185.42,90.7184,0
63,80,53,90,95,203.2,444.52016,0
38,80,25,100,64,193.04,122.46984,0
69,10,33,40,50,185.42,88.45044,0
10,8,13,5,20,177.8,82.100152,0
75,28,38,80,95,190.5,104.32616,0
50,85,100,85,40,187.96,108.86207999999999,0
56,48,35,80,55,193.04,90.7184,0
63,80,23,90,32,180.34,91.171992,0
63,10,17,10,55,177.8,72.57472,0
50,28,42,90,60,243.84,170.097,0
63,100,83,100,100,256.54,174.63291999999998,0
63,13,46,64,42,182.88,68.0388,0
38,55,23,42,30,165.1,57.152592,0
38,10,28,28,60,162.56,54.884631999999996,0
56,48,47,85,80,182.88,83.91452,0
75,80,47,56,64,180.34,90.7184,0
100,18,23,28,32,210.82,122.46984,0
75,18,17,40,30,182.88,86.18248,0
75,60,65,90,84,228.60000000000002,360.60564,0
100,100,33,100,60,213.36,136.0776,0
63,44,42,75,60,177.8,106.59412,0
81,85,79,80,80,185.42,147.4174,0
50,48,50,70,70,175.26,63.50288,0
63,13,58,64,42,182.88,68.0388,0
38,63,23,42,70,172.72,57.152592,0
63,100,100,80,25,193.04,98.883056,0
75,82,35,80,101,185.42,272.1552,0
50,10,12,14,28,165.1,58.96696,0
50,63,12,80,54,162.56,50.802304,0
63,80,25,100,50,182.88,102.0582,0
63,100,42,100,80,198.12,127.00576,0
38,10,23,28,42,167.64000000000001,54.431039999999996,0
88,10,33,45,60,182.88,81.64656,0
63,10,96,60,56,180.34,63.50288,0
50,11,47,95,80,182.88,67.585208,0
88,38,23,56,95,203.2,181.4368,0
50,10,58,40,70,182.88,77.11064,0
25,53,23,54,56,165.1,53.977448,0
88,11,33,40,90,170.18,57.152592,0
69,12,27,56,100,165.1,52.16308,0
75,10,23,28,80,167.64000000000001,61.23492,0
81,40,29,55,90,177.8,77.11064,0
100,26,27,50,100,187.96,95.25431999999999,0
88,11,33,28,100,177.8,79.3786,0
50,53,35,74,74,198.12,133.80964,0
94,48,38,60,85,180.34,182.343984,0
50,28,50,70,40,172.72,68.0388,0
63,80,35,95,84,200.66,217.72415999999998,0
88,100,79,100,100,187.96,136.0776,0
75,12,23,28,70,165.1,71.213944,0
63,14,23,75,65,198.12,124.7378,0
38,95,100,100,85,190.5,156.48924,0
88,100,92,100,56,190.5,113.398,0
75,67,100,84,56,187.96,95.25431999999999,0
63,8,33,20,80,170.18,58.96696,0
63,8,33,15,80,165.1,58.059776,0
75,16,33,10,70,177.8,54.431039999999996,0
63,10,8,70,70,182.88,86.18248,0
50,11,53,28,75,185.42,90.7184,0
75,10,35,42,65,170.18,52.16308,0
75,28,50,60,85,187.96,92.98636,0
88,16,30,60,100,182.88,90.7184,0
75,13,33,30,100,170.18,59.420552,0
63,32,45,80,65,190.5,104.32616,0
38,10,35,32,56,185.42,86.18248,0
