intelligence,strength,speed,durability,combat,height_cm,weight_kg,power
38.0,100.0,17.0,80.0,64.0,203.0,441.0,24.0
88.0,28.0,35.0,65.0,85.0,191.0,65.0,100.0
50.0,90.0,53.0,64.0,65.0,185.0,90.0,99.0
63.0,80.0,53.0,90.0,95.0,203.0,441.0,62.0
38.0,80.0,25.0,100.0,64.0,193.0,122.0,98.0
69.0,10.0,33.0,40.0,50.0,185.0,88.0,37.0
10.0,8.0,13.0,5.0,20.0,178.0,81.0,5.0
75.0,28.0,38.0,80.0,95.0,191.0,104.0,72.0
50.0,85.0,100.0,85.0,40.0,188.0,108.0,100.0
56.0,48.0,35.0,80.0,55.0,193.0,90.0,34.0
63.0,80.0,23.0,90.0,32.0,180.0,90.0,100.0
63.0,10.0,17.0,10.0,55.0,178.0,72.0,7.0
50.0,28.0,42.0,90.0,60.0,244.0,169.0,57.0
63.0,100.0,83.0,100.0,100.0,257.0,173.0,100.0
63.0,13.0,46.0,64.0,42.0,183.0,68.0,28.0
38.0,55.0,23.0,42.0,30.0,165.0,57.0,17.0
38.0,10.0,28.0,28.0,60.0,163.0,54.0,56.0
56.0,48.0,47.0,85.0,80.0,183.0,83.0,73.0
75.0,80.0,47.0,56.0,64.0,180.0,90.0,59.0
100.0,18.0,23.0,28.0,32.0,211.0,122.0,32.0
75.0,18.0,17.0,40.0,30.0,183.0,86.0,53.0
75.0,60.0,65.0,90.0,84.0,229.0,358.0,96.0
100.0,100.0,33.0,100.0,60.0,213.0,135.0,100.0
63.0,44.0,42.0,75.0,60.0,178.0,106.0,89.0
81.0,85.0,79.0,80.0,80.0,185.0,146.0,100.0
50.0,48.0,50.0,70.0,70.0,175.0,63.0,71.0
63.0,13.0,58.0,64.0,42.0,183.0,68.0,35.0
38.0,63.0,23.0,42.0,70.0,173.0,57.0,52.0
63.0,100.0,100.0,80.0,25.0,193.0,98.0,100.0
75.0,82.0,35.0,80.0,101.0,185.0,270.0,84.0
50.0,10.0,12.0,14.0,28.0,165.0,59.0,94.0
50.0,63.0,12.0,80.0,54.0,163.0,50.0,55.0
63.0,80.0,25.0,100.0,50.0,183.0,101.0,98.0
63.0,100.0,42.0,100.0,80.0,198.0,126.0,27.0
38.0,10.0,23.0,28.0,42.0,168.0,54.0,38.0
88.0,10.0,33.0,45.0,60.0,183.0,81.0,40.0
63.0,10.0,96.0,60.0,56.0,180.0,63.0,74.0
50.0,11.0,47.0,95.0,80.0,183.0,67.0,100.0
88.0,38.0,23.0,56.0,95.0,203.0,180.0,51.0
50.0,10.0,58.0,40.0,70.0,183.0,77.0,63.0
25.0,53.0,23.0,54.0,56.0,165.0,54.0,21.0
88.0,11.0,33.0,40.0,90.0,170.0,57.0,34.0
69.0,12.0,27.0,56.0,100.0,165.0,52.0,46.0
75.0,10.0,23.0,28.0,80.0,168.0,61.0,22.0
81.0,40.0,29.0,55.0,90.0,178.0,77.0,63.0
100.0,26.0,27.0,50.0,100.0,188.0,95.0,47.0
88.0,11.0,33.0,28.0,100.0,178.0,79.0,36.0
50.0,53.0,35.0,74.0,74.0,198.0,133.0,48.0
94.0,48.0,38.0,60.0,85.0,180.0,181.0,43.0
50.0,28.0,50.0,70.0,40.0,173.0,68.0,79.0
63.0,80.0,35.0,95.0,84.0,201.0,216.0,100.0
88.0,100.0,79.0,100.0,100.0,188.0,135.0,100.0
75.0,12.0,23.0,28.0,70.0,165.0,71.0,19.0
63.0,14.0,23.0,75.0,65.0,198.0,124.0,100.0
38.0,95.0,100.0,100.0,85.0,191.0,155.0,100.0
88.0,100.0,92.0,100.0,56.0,191.0,113.0,100.0
75.0,67.0,100.0,84.0,56.0,188.0,95.0,100.0
63.0,8.0,33.0,20.0,80.0,170.0,59.0,52.0
63.0,8.0,33.0,15.0,80.0,165.0,58.0,45.0
75.0,16.0,33.0,10.0,70.0,178.0,54.0,23.0
63.0,10.0,8.0,70.0,70.0,183.0,86.0,43.0
50.0,11.0,53.0,28.0,75.0,185.0,90.0,70.0
75.0,10.0,35.0,42.0,65.0,170.0,52.0,88.0
75.0,28.0,50.0,60.0,85.0,188.0,92.0,76.0
88.0,16.0,30.0,60.0,100.0,183.0,90.0,41.0
75.0,13.0,33.0,30.0,100.0,170.0,59.0,36.0
63.0,32.0,45.0,80.0,65.0,191.0,104.0,45.0
38.0,10.0,35.0,32.0,56.0,185.0,86.0,20.0
50.0,28.0,8.0,30.0,25.0,188.0,88.0,69.0
63.0,28.0,38.0,50.0,90.0,188.0,97.0,40.0
